mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_recall_deseased,split1_test_recall_deseased,split2_test_recall_deseased,split3_test_recall_deseased,split4_test_recall_deseased,mean_test_recall_deseased,std_test_recall_deseased,rank_test_recall_deseased,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
555.215490436554,57.43445887118051,2.849640464782715,0.28366699573204845,gini,0.8,50,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 50}",0.11488250652741515,0.1227154046997389,0.11488250652741515,0.10966057441253264,0.11357702349869452,0.11514360313315927,0.0042423177047707355,8,0.66563479145064,0.6658246014800386,0.6668230621265888,0.6650686837792844,0.666653983512633,0.666001024469837,0.0006536990560841896,7,0.8814356865697573,0.8800747089824521,0.881725256269184,0.881290901720044,0.8817542132391266,0.8812561533561128,0.0006160148734846489,15
1122.133052444458,66.66747133615722,4.082277822494507,0.05691644863286234,gini,0.8,100,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 100}",0.11488250652741515,0.12402088772845953,0.11488250652741515,0.10704960835509138,0.11488250652741515,0.11514360313315926,0.005376308167617232,10,0.6652536031588914,0.6663275416836736,0.6672603037257705,0.6641016005845548,0.6663168599072459,0.6658519818120272,0.0010814370903275384,12,0.8814356865697573,0.8803063647419934,0.8818845196038686,0.881117159900388,0.88059593444142,0.8810679330514855,0.0005669653443224659,18
2178.264288187027,143.16722851918365,6.631184053421021,0.10654742891762939,gini,0.8,200,"{'criterion': 'gini', 'max_features': 0.8, 'n_estimators': 200}",0.11488250652741515,0.12532637075718014,0.11488250652741515,0.10704960835509138,0.11488250652741515,0.1154046997389034,0.005814897506872083,7,0.6653059623572647,0.6661501013316844,0.6672500663804745,0.6642502165110344,0.6666991205211268,0.665931093420317,0.0010577008832934316,10,0.8814936005096426,0.8803932356518214,0.8821016968784386,0.8812764232350727,0.8811895523252447,0.881290901720044,0.0005504109890931481,13
374.7639691352844,22.61832463082883,2.6104547023773192,0.025397421397724298,gini,0.6,50,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 50}",0.11357702349869452,0.12532637075718014,0.1122715404699739,0.1031331592689295,0.11618798955613577,0.11409921671018278,0.007131331740860394,17,0.6652251563148299,0.6658443154429536,0.6669670176277832,0.6634141580131283,0.6668903334398862,0.6656681961677162,0.0013029617807020642,18,0.8809144611107894,0.8800312735275381,0.8824202235478079,0.8814936005096426,0.8813053802050154,0.8812329877801588,0.0007782370859811764,17
767.1243590831757,35.35527920775795,4.014425563812256,0.10222272486339812,gini,0.6,100,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 100}",0.11096605744125326,0.1227154046997389,0.11488250652741515,0.10443864229765012,0.11488250652741515,0.11357702349869452,0.0059539186689250055,18,0.6649829190859474,0.6654352286210408,0.6676808588664167,0.6640339741470775,0.666946468302242,0.6658158898045449,0.001324408087123374,14,0.8813632941449007,0.8801471014073088,0.8823478311229513,0.8816962992992413,0.8814356865697573,0.8813980425088319,0.0007153368001347306,3
1531.7954699516297,65.11894793202657,6.718376302719117,0.3556765955165105,gini,0.6,200,"{'criterion': 'gini', 'max_features': 0.6, 'n_estimators': 200}",0.1122715404699739,0.12532637075718014,0.11488250652741515,0.10704960835509138,0.11488250652741515,0.11488250652741513,0.0059539186689249995,11,0.6647905679520777,0.6661125605480607,0.667471514440053,0.6643279607153312,0.6668171620703423,0.6659039531451729,0.001188115712367857,11,0.8815225574795853,0.8802339723171367,0.8821451323333527,0.881377772629872,0.8812619447501013,0.8813082759020097,0.0006176325516777788,10
254.4987545967102,7.640155648201506,2.62292218208313,0.038305969381529276,gini,0.4,50,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 50}",0.11488250652741515,0.12402088772845953,0.1122715404699739,0.10835509138381201,0.11618798955613577,0.11514360313315927,0.0051826196452426105,8,0.6659640439128895,0.6662915883307104,0.6668701930191868,0.6646773326986437,0.6668397586710803,0.666128583326502,0.0008019385938970739,5,0.881508078994614,0.8803787571668501,0.8818845196038686,0.8814791220246714,0.8810158105055887,0.8812532576591187,0.0005168312160148731,16
508.5733811378479,16.180068194002136,3.9687159061431885,0.18850455638343203,gini,0.4,100,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 100}",0.11357702349869452,0.12402088772845953,0.11357702349869452,0.10704960835509138,0.11618798955613577,0.11488250652741513,0.005476808606632646,11,0.665749356401701,0.6657431774656755,0.6670512707345577,0.6645477272212521,0.6667006764833978,0.6659584416613168,0.0008746837674898314,8,0.88168182081427,0.8804511495917067,0.8819858689986679,0.881421208084786,0.8809434180807321,0.8812966931140325,0.0005437900000359732,12
1007.2516263484955,24.722549668716294,6.38949294090271,0.09068716805874465,gini,0.4,200,"{'criterion': 'gini', 'max_features': 0.4, 'n_estimators': 200}",0.11488250652741515,0.1227154046997389,0.11488250652741515,0.10443864229765012,0.11618798955613577,0.11462140992167102,0.005861604261264663,14,0.6653786080002361,0.6653937131152323,0.6673357565174071,0.663751466585871,0.6669159014256769,0.6657550891288846,0.001275368851734001,15,0.8815804714194707,0.8803208432269647,0.8820582614235246,0.881508078994614,0.8814067295998147,0.8813748769328779,0.000572543079569863,6
338.22615160942075,8.131944588675369,2.5776198387145994,0.23964406051513706,entropy,0.8,50,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 50}",0.1174934725848564,0.12532637075718014,0.11488250652741515,0.10704960835509138,0.11488250652741515,0.11592689295039164,0.005861604261264659,2,0.665948322014713,0.6666947641873078,0.6674462218012607,0.6643432024989555,0.6667815634374479,0.6662428147879369,0.0010618803744856266,2,0.8814356865697573,0.8802050153471941,0.8821306538483813,0.8814067295998147,0.8819713905136967,0.8814298951757689,0.0006760444803179852,2
667.9943736553192,5.955987463032158,3.718413305282593,0.18357671175343962,entropy,0.8,100,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 100}",0.11488250652741515,0.12663185378590078,0.11618798955613577,0.10574412532637076,0.11488250652741515,0.11566579634464753,0.006636169726965446,4,0.6659950834387885,0.6665314400239354,0.6673531612569354,0.6641404338867208,0.6669064452839295,0.6661853127780619,0.001115475065856224,3,0.8814791220246714,0.8802339723171367,0.882029304453582,0.8813632941449007,0.881551514449528,0.8813314414779638,0.0005937520594970618,9
1314.1255142688751,29.63970931192301,5.877180194854736,0.05873887158192507,entropy,0.8,200,"{'criterion': 'entropy', 'max_features': 0.8, 'n_estimators': 200}",0.11488250652741515,0.12402088772845953,0.11357702349869452,0.10574412532637076,0.11488250652741515,0.11462140992167102,0.005803162081173071,14,0.665862317399069,0.6656939966403563,0.6665650834329367,0.6641248208787074,0.6663703606489025,0.6657233157999943,0.0008605355141323863,17,0.8815370359645567,0.8803353217119361,0.8823043956680373,0.8814791220246714,0.8815370359645567,0.8814385822667516,0.0006305309557591898,1
258.75515232086184,3.0314700085853863,2.533680629730225,0.05921910274509513,entropy,0.6,50,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 50}",0.12140992167101827,0.12532637075718014,0.11618798955613577,0.10574412532637076,0.11488250652741515,0.11671018276762402,0.006636169726965444,1,0.6672140071809087,0.6658552917252947,0.667502334897932,0.6636642991961348,0.6666504425958606,0.6661772751192261,0.001376459628308341,4,0.8816239068743846,0.8800457520125095,0.8818410841489547,0.8814067295998147,0.8814936005096426,0.8812822146290612,0.0006353135448518426,14
516.2361821174621,10.600849553678998,3.675313186645508,0.15468726539722552,entropy,0.6,100,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 100}",0.11618798955613577,0.12402088772845953,0.11488250652741515,0.10704960835509138,0.11618798955613577,0.1156657963446475,0.005388973222075795,5,0.6663814804697197,0.6665144390866884,0.6677170893207717,0.6641061816540086,0.6669800956223966,0.666339857230717,0.0012106354801095134,1,0.8815804714194707,0.88059593444142,0.8823623096079226,0.8812329877801587,0.8812185092951873,0.8813980425088319,0.0005772250749736748,3
958.5704095840454,15.484672555313159,3.079780864715576,0.3046410767910192,entropy,0.6,200,"{'criterion': 'entropy', 'max_features': 0.6, 'n_estimators': 200}",0.11488250652741515,0.1279373368146214,0.11488250652741515,0.10704960835509138,0.11488250652741515,0.11592689295039164,0.006727988891240276,2,0.6656845803790947,0.6667370157848352,0.6673250016802391,0.6645059346140518,0.6663736943992111,0.6661252453714864,0.0009686855137846535,6,0.8817397347541553,0.8803642786818787,0.882376788092894,0.881508078994614,0.8810013320206174,0.8813980425088319,0.000680125194124553,3
200.6733901500702,4.291079520770443,2.5348140716552736,0.048510525483157776,entropy,0.4,50,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 50}",0.11618798955613577,0.12402088772845953,0.11357702349869452,0.10704960835509138,0.1174934725848564,0.1156657963446475,0.0055140240422827365,5,0.665746347995742,0.6660717294576588,0.6663156818533829,0.6643426850070837,0.6672042265460351,0.6659361341719805,0.0009322660378768439,9,0.881377772629872,0.8803063647419934,0.882203046273238,0.881508078994614,0.8811026814154167,0.8812995888110269,0.0006149931423942393,11
375.0158297538757,17.282284468485585,3.242491674423218,0.447337868412426,entropy,0.4,100,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 100}",0.11488250652741515,0.12532637075718014,0.11357702349869452,0.10443864229765012,0.11618798955613577,0.11488250652741513,0.006656683438110683,11,0.6654880015894342,0.6658975077013692,0.6669740422662662,0.6637637164865688,0.6670276735660673,0.6658301883219411,0.0011945126421252482,13,0.8815804714194707,0.8800891874674234,0.8820437829385533,0.8813922511148433,0.8816239068743846,0.8813459199629351,0.000663449618637505,8
398.51713428497317,54.544150338584274,2.207237482070923,0.14136370307006854,entropy,0.4,200,"{'criterion': 'entropy', 'max_features': 0.4, 'n_estimators': 200}",0.1122715404699739,0.12532637075718014,0.11618798955613577,0.10443864229765012,0.11488250652741515,0.11462140992167102,0.0067279888912402715,14,0.6648106696624141,0.6659221904811595,0.6672788323044396,0.6639422984884252,0.6667975279249247,0.6657503037722726,0.0012340517255827069,16,0.8814936005096426,0.8801760583772514,0.882203046273238,0.8817107777842127,0.8811750738402734,0.8813517113569237,0.0006763420897004548,7
